Regra | Status
--- | ---
Somente poderá se inscrever no processo seletivo do Sisu o estudante que tenha participado do Enem, conforme disposto no § 1º do art. 2º desta Portaria, e que atenda às condições estabelecidas no edital do Sisu. | NÃO ENCONTRADA
O estudante deverá efetuar sua inscrição no Sisu, especificando em ordem de preferência, as suas opções de vaga em instituição, local de oferta, curso, turno e  a modalidade de concorrência, conforme o disposto no art. 15 desta Portaria. | NÃO ENCONTRADA
É vedada ao estudante a inscrição em mais de uma modalidade de concorrência para o mesmo curso e turno, na mesma instituição de ensino e local de oferta. | NÃO ENCONTRADA
É vedada ao estudante a inscrição na segunda edição anual do processo seletivo do Sisu para o mesmo curso, turno, local de oferta e instituição, independentemente da modalidade de oferta, para o qual tenha se em razão de sua seleção na primeira edição anual do Sisu. | NÃO ENCONTRADA
Durante o período de inscrição o estudante poderá alterar as suas opções, bem como efetuar o seu cancelamento. | ENCONTRADA
A classificação no processo seletivo do Sisu será efetuada com base na última alteração efetuada e confirmada pelo estudante no sistema. | NÃO ENCONTRADA
Ao se inscrever no processo seletivo do Sisu, o estudante deverá optar por concorrer às vagas reservadas em decorrência do disposto na Lei nº 12.711, de 2012, observada a regulamentação em vigor. | NÃO ENCONTRADA
Ao se inscrever no processo seletivo do Sisu, o estudante deverá optar por concorrer às vagas destinadas às demais políticas de ações afirmativas eventualmente adotadas pela instituição no Termo de Adesão. | NÃO ENCONTRADA
Ao se inscrever no processo seletivo do Sisu, o estudante deverá optar por concorrer às vagas destinadas à ampla concorrência. | NÃO ENCONTRADA
Compete exclusivamente ao estudante se certificar de que cumpre os requisitos estabelecidos para concorrer às vagas referidas nos incisos do caput. | NÃO ENCONTRADA
O Sisu disponibilizará ao estudante, em caráter exclusivamente informativo, a nota de corte para cada instituição, local de oferta, curso, turno e modalidade de concorrência, a qual será atualizada periodicamente conforme o processamento das inscrições efetuadas. | ENCONTRADA
Considera-se nota de corte a menor nota para que o estudante se classifique dentro do número de vagas ofertadas no(s) curso(s) de opção e modalidade de concorrência no período de inscrição, não constituindo qualquer garantia de seleção para a(s) vaga(s) ofertada(s), mas tão somente mera referência de auxílio no monitoramento de sua inscrição. | ENCONTRADA
A inscrição do estudante no processo seletivo do Sisu implica a concordância expressa e irretratável com o disposto nesta Portaria, no Termo de Adesão da instituição e nos editais divulgados pela SESu, bem como nos editais próprios da instituição para a qual tenha se inscrito. | NÃO ENCONTRADA
A inscrição do estudante no processo seletivo do Sisu implica o consentimento com a utilização e a divulgação de suas notas no Enem e das informações prestadas no Exame, inclusive aquelas constantes do questionário socioeconômico, assim como os dados referentes à sua participação no Sisu. | NÃO ENCONTRADA
