rule,type,nlc,dc,sql,link
"Unless otherwise authorized by law, all City procurements shall be made by one of the methods authorized by these Rules",,"Verify that all City procurements are made by one of the methods authorized by these Rules, unless otherwise authorized by law.","[""SpecialCaseReasonDescription IS NULL"", ""SelectionMethodDescription NOT IN ('M/WBE Noncompetitive Small Purchase', 'Renewal', 'Emergency Purchase', 'Competitive Sealed Bids', 'Competitive Sealed Proposals', 'Negotiated Acquisition', 'Competitive Sealed Proposals/Pre-Qualified List', 'Government to Government', 'Intergovernmental Purchase', 'Request for Proposals', 'Sole Source', 'Other', 'Required/Authorized Source', 'Required Method (including Preferred Source)', 'Negotiated Acquisition/Pre-Qualified List', 'Competitive Sealed Bids/Pre-Qualified List', 'Request for Quote', 'BP/City Council Discretionary', 'Small Purchase', 'Contract Change', 'Innovative Procurement', 'Line Item Appropriation or Discretionary Funds', 'Demonstration Project', 'Contract with another Government', 'Public Bid', 'CP/2', 'Cooperative Purchasing', 'IG/S', 'RS', 'Client Services Waiver', 'Request for Qualifications', 'Request for Information')""]","SELECT * FROM contract_award WHERE SpecialCaseReasonDescription IS NULL  AND SelectionMethodDescription NOT IN ('M/WBE Noncompetitive Small Purchase', 'Renewal', 'Emergency Purchase', 'Competitive Sealed Bids', 'Competitive Sealed Proposals', 'Negotiated Acquisition', 'Competitive Sealed Proposals/Pre-Qualified List', 'Government to Government', 'Intergovernmental Purchase', 'Request for Proposals', 'Sole Source', 'Other', 'Required/Authorized Source', 'Required Method (including Preferred Source)', 'Negotiated Acquisition/Pre-Qualified List', 'Competitive Sealed Bids/Pre-Qualified List', 'Request for Quote', 'BP/City Council Discretionary', 'Small Purchase', 'Contract Change', 'Innovative Procurement', 'Line Item Appropriation or Discretionary Funds', 'Demonstration Project', 'Contract with another Government', 'Public Bid', 'CP/2', 'Cooperative Purchasing', 'IG/S', 'RS', 'Client Services Waiver', 'Request for Qualifications', 'Request for Information')",TRUE
"Except as otherwise provided in these Rules, contracts shall be awarded by competitive sealed bidding",,"Verify that contracts are awarded by competitive sealed bidding, except as otherwise provided in these Rules.","[""SelectionMethodDescription <> 'Competitive Sealed Bids'"", ""SpecialCaseReasonDescription IS NULL""]",SELECT * FROM contract_award WHERE SelectionMethodDescription <> 'Competitive Sealed Bids' AND (SpecialCaseReasonDescription IS NULL),TRUE
"In the case of construction, where appropriate in the judgment of the ACCO, and in accordance with these Rules, competitive sealed bidding from prequalified vendors or any other appropriate procurement method may be used",,"Verify that, in the case of construction, competitive sealed bidding from prequalified vendors or any other appropriate procurement method is used where deemed appropriate by the ACCO and in accordance with these Rules.",,,FALSE
"Procurement by competitive sealed proposals, including, where applicable, through HHS Accelerator, is the preferred method for awarding contracts for non-commodity data processing equipment and for information technology, non-commodity data processing, architectural, engineering, client, legal, accounting, financial, training, educational, cultural, medical, managed care, employee health benefits, scientific management, research, performing arts, and systems consultation services, and/or other similar services",,"Verify that contracts for non-commodity data processing equipment and services such as information technology, non-commodity data processing, architectural, engineering, client, legal, accounting, financial, training, educational, cultural, medical, managed care, employee health benefits, scientific management, research, performing arts, and systems consultation are awarded through competitive sealed proposals, including, where applicable, through HHS Accelerator.","[""SelectionMethodDescription NOT IN ('Competitive Sealed Proposals', 'HHS Accelerator')"",""CategoryDescription like '%non-commodity data processing equipment%'""], [""SelectionMethodDescription NOT IN ('Competitive Sealed Proposals', 'HHS Accelerator')"",""CategoryDescription like '%information technology%'""], [""SelectionMethodDescription NOT IN ('Competitive Sealed Proposals', 'HHS Accelerator')"",""CategoryDescription like '%non-commodity data processing%'""], [""SelectionMethodDescription NOT IN ('Competitive Sealed Proposals', 'HHS Accelerator')"",""CategoryDescription like '%architectural%'""], [""SelectionMethodDescription NOT IN ('Competitive Sealed Proposals', 'HHS Accelerator')"",""CategoryDescription like '%engineering%'""], [""SelectionMethodDescription NOT IN ('Competitive Sealed Proposals', 'HHS Accelerator')"",""CategoryDescription like '%client%'""], [""SelectionMethodDescription NOT IN ('Competitive Sealed Proposals', 'HHS Accelerator')"",""CategoryDescription like '%legal%'""], [""SelectionMethodDescription NOT IN ('Competitive Sealed Proposals', 'HHS Accelerator')"",""CategoryDescription like '%accounting%'""], [""SelectionMethodDescription NOT IN ('Competitive Sealed Proposals', 'HHS Accelerator')"",""CategoryDescription like '%financial%'""], [""SelectionMethodDescription NOT IN ('Competitive Sealed Proposals', 'HHS Accelerator')"",""CategoryDescription like '%training%'""], [""SelectionMethodDescription NOT IN ('Competitive Sealed Proposals', 'HHS Accelerator')"",""CategoryDescription like '%educational%'""], [""SelectionMethodDescription NOT IN ('Competitive Sealed Proposals', 'HHS Accelerator')"",""CategoryDescription like '%cultural%'""], [""SelectionMethodDescription NOT IN ('Competitive Sealed Proposals', 'HHS Accelerator')"",""CategoryDescription like '%medical%'""], [""SelectionMethodDescription NOT IN ('Competitive Sealed Proposals', 'HHS Accelerator')"",""CategoryDescription like '%managed care%'""], [""SelectionMethodDescription NOT IN ('Competitive Sealed Proposals', 'HHS Accelerator')"",""CategoryDescription like '%employee health benefits%'""], [""SelectionMethodDescription NOT IN ('Competitive Sealed Proposals', 'HHS Accelerator')"",""CategoryDescription like '%scientific management%'""], [""SelectionMethodDescription NOT IN ('Competitive Sealed Proposals', 'HHS Accelerator')"",""CategoryDescription like '%research%'""], [""SelectionMethodDescription NOT IN ('Competitive Sealed Proposals', 'HHS Accelerator')"",""CategoryDescription like '%performing arts%'""], [""SelectionMethodDescription NOT IN ('Competitive Sealed Proposals', 'HHS Accelerator')"",""CategoryDescription like '%systems consultation services%'""]","SELECT * FROM contract_award WHERE SelectionMethodDescription NOT IN ('Competitive Sealed Proposals', 'HHS Accelerator') AND (CategoryDescription like '%non-commodity data processing equipment%' or CategoryDescription like '%information technology%' or CategoryDescription like '%non-commodity data processing%' or CategoryDescription like '%architectural%' or CategoryDescription like '%engineering%' or CategoryDescription like '%client%' or CategoryDescription like '%legal%' or CategoryDescription like '%accounting%' or CategoryDescription like '%financial%' or CategoryDescription like '%training%' or CategoryDescription like '%educational%' or CategoryDescription like '%cultural%' or CategoryDescription like '%medical%' or CategoryDescription like '%managed care%' or CategoryDescription like '%employee health benefits%' or CategoryDescription like '%scientific management%' or CategoryDescription like '%research%' or CategoryDescription like '%performing arts%' or CategoryDescription like '%systems consultation services%')",TRUE
A “Special Case” determination is not required for such procurements,,Verify that a Special Case determination is not made for such procurements.,"[""SpecialCaseReasonDescription IS NULL"", ""CategoryDescription LIKE '%data processing equipment%'""], [""SpecialCaseReasonDescription IS NULL"", ""CategoryDescription LIKE '%similar services%'""]",SELECT * FROM contract_award WHERE SpecialCaseReasonDescription IS NULL AND (CategoryDescription LIKE '%data processing equipment%' OR CategoryDescription LIKE '%similar services%') ,TRUE
"Agencies may elect to use one of the methods of source selection listed herein, after making the determination that it is not practicable or not advantageous to the City to use competitive sealed bidding as required by this section",,Verify that agencies have made the determination that it is not practicable or not advantageous to the City to use competitive sealed bidding before electing to use one of the methods of source selection listed herein.,,,FALSE
"A Special Case determination is required for each case in which one of the following methods of source selection is used: (i) Competitive sealed bidding from prequalified vendors, except as provided in Section 3-10(a) of these Rules;(ii) Competitive sealed bidding where the award will be made to the bidder whose bid represents the best value to the City;(iii) Competitive sealed proposals (including multi-step process);(iv) Competitive sealed proposals from prequalified vendors;(v) Negotiated acquisition;(vi) Sole source procurement;(vii) Demonstration project for innovative products, approaches, or technologies;(viii) Innovative procurement method; or (ix) Government-to-government purchase.",,"Verify that a Special Case determination is made for each case where the method of source selection used is one of the following: competitive sealed bidding from prequalified vendors (except as provided in Section 3-10(a) of these Rules), competitive sealed bidding where the award is made to the bidder whose bid represents the best value to the City, competitive sealed proposals (including multi-step process), competitive sealed proposals from prequalified vendors, negotiated acquisition, sole source procurement, demonstration project for innovative products, approaches, or technologies, innovative procurement method, or government-to-government purchase.","[""SelectionMethodDescription in ('Competitive Sealed Bids','Competitive Sealed Bids/Pre-Qualified List','Competitive Sealed Proposals','Competitive Sealed Proposals/Pre-Qualified List','Negotiated Acquisition','Sole Source','Demonstration Project','Innovative Procurement','Government to Government')"", ""SpecialCaseReasonDescription IS NULL""]","SELECT * FROM contract_award WHERE SelectionMethodDescription in ('Competitive Sealed Bids','Competitive Sealed Bids/Pre-Qualified List','Competitive Sealed Proposals','Competitive Sealed Proposals/Pre-Qualified List','Negotiated Acquisition','Sole Source','Demonstration Project','Innovative Procurement','Government to Government') AND SpecialCaseReasonDescription IS NULL",TRUE
"A special case is a circumstance recognized by these Rules in which it is not practicable or not advantageous to the City to use competitive sealed bidding for one of the following reasons: (i) specifications cannot be made sufficiently definite and certain to permit selection based on bid price or evaluated bid price alone; (ii) judgment is required in evaluating competing proposals, and it is in the best interest of the City to require a balancing of price, quality, and other factors; (iii) it is in the best interest of the City for goods or standard services to be awarded on the basis of best value to the City by optimizing quality, cost, and efficiency; (iv) there is only one available source, as set forth in these Rules; (v) testing, experimentation, or evaluation is required to determine the feasibility and application of an innovative product, approach, or technology not currently used by the City; (vi) the need for advance screening of qualifications is paramount and prequalification is appropriate for one of the reasons set forth in these Rules; (vii) circumstances justifying the use of negotiated acquisition as set forth in these Rules; or (viii) to test and evaluate the feasibility and application of innovative procurement methods not currently used by the City or provided for in these Rules",,"Verify that a special case is recognized when it is not practicable or advantageous to use competitive sealed bidding for the following reasons: specifications cannot be made definite and certain for selection based on bid price alone; judgment is required for evaluating proposals with a balance of price, quality, and other factors; awarding goods or services based on best value by optimizing quality, cost, and efficiency is in the City's best interest; only one source is available; testing, experimentation, or evaluation is needed for innovative products or technologies not used by the City; advance screening of qualifications is paramount and prequalification is appropriate; circumstances justify negotiated acquisition; or to test and evaluate innovative procurement methods not used by the City.",,,FALSE
"Upon determining that there is a special case, the Contracting Officer shall select the most competitive alternate method of source selection among those listed in Section 3-01 above which is practicable and advantageous to the City",,"Verify that when a special case is determined, the Contracting Officer selects the most competitive alternate method of source selection from those listed in Section 3-01 that is practicable and advantageous to the City.",,,FALSE
"The determination that there is a special case, and the reasons that the method of source selection is the most competitive that is appropriate under the circumstances, shall be made in writing in advance of issuing solicitations, as part of any presolicitation review required by these Rules, and shall be approved by the ACCO",,"Verify that any determination of a special case, along with the reasons for the method of source selection being the most competitive under the circumstances, is documented in writing before issuing solicitations, as part of any required presolicitation review, and is approved by the ACCO.",,,FALSE
