rule,type,nlc,dc,sql,link
"All food workers, including wait staff, should know how to prepare and handle food safely to prevent food-related illnesses.",D,"Verify that all food workers, including wait staff, know how to prepare and handle food safely to prevent food-related illnesses.",,,FALSE
"Owners and managers should study this guide, share it with their employees and use the Self-Inspection Worksheet (after page 12) to regularly check their restaurants’ physical and environmental conditions and their employees’ food-handling practices.",D,"Verify that restaurant owners and managers have studied this guide, shared it with their employees, and are using the Self-Inspection Worksheet to regularly check their restaurants' physical and environmental conditions as well as their employees' food-handling practices.",,,FALSE
The Health Code requires food service establishments to have a supervisor of food operations with a Food Protection Certificate on duty during all hours of operation to supervise food preparation and processing.,D,Check if there is a supervisor of food operations with a Food Protection Certificate on duty during all hours of operation to supervise food preparation and processing at the food service establishment.,,,FALSE
The Health Department recommends that restaurants have more than one staff person with a Food Protection Certificate.,D,Verify that restaurants have more than one staff person with a Food Protection Certificate as recommended by The Health Department.,,,FALSE
Individuals can earn a Certificate by taking and passing the Health Department’s food protection course.,P,Verify that individuals can earn a Certificate by taking and passing the Health Department’s food protection course.,,,FALSE
"Every food service establishment in New York City receives an unannounced, onsite inspection at least once a year to check if it is meeting Health Code food safety requirements.",D,"Verify that every food service establishment in New York City receives an unannounced, onsite inspection at least once a year to check if it is meeting Health Code food safety requirements.",,,FALSE
"The inspector may visit anytime the restaurant is receiving or preparing food or drink, or is open to the public.",D,"Check if the inspector may visit anytime the restaurant is receiving or preparing food or drink, or is open to the public.",,,FALSE
Health Department inspectors hold bachelor’s degrees with significant coursework in science.,O,Check if Health Department inspectors hold bachelor's degrees with significant coursework in science.,,,FALSE
All inspectors undergo months of intense public health and communications instruction before they conduct an inspection on their own.,P,Verify that all inspectors undergo months of intense public health and communications instruction before they conduct an inspection on their own.,,,FALSE
They are taught to identify and explain to operators which hazards contribute to food-borne illnesses and to document these accurately in an inspection report.,P,Verify that they identify and explain to operators which hazards contribute to food-borne illnesses and document these accurately in an inspection report.,,,FALSE
"It is a crime to offeror for the inspector to demand money, gifts or services of any kind.",D,"Verify that no money, gifts, or services of any kind are offered or demanded by an inspector, as it is a crime.",,,FALSE
Legal action will be taken against anyone who offers or accepts a bribe.,D,Verify that legal action is taken against anyone who offers or accepts a bribe.,,,FALSE
The inspector records observed violations in a handheld computer during the inspection.,P,Verify that the inspector records observed violations in a handheld computer during the inspection.,,,FALSE
"Each violation is associated with a range of points depending on the type and extent of the violation, and the risk it poses to the public.",O,"Verify that each violation is associated with a range of points that vary depending on the type, extent, and risk to the public.",,,FALSE
"At the end of the inspection, the points are added together for an inspection score. ",P,"Verify that, at the end of the inspection, the points are added together for an inspection score.",,,FALSE
Lower inspection scores indicate better compliance with the Health Code.,O,Verify that lower inspection scores indicate better compliance with the Health Code.,,,FALSE
Health Code violations are classified as “critical” or “general”.,D,"Verify that health code violations are classified as ""critical"" or ""general"". ",,,FALSE
Critical violations are more likely than general ones to contribute to food-borne illnesses because they may be a substantial risk to the public’s health.,O,"Verify that critical violations, which pose a substantial risk to public health, are more likely than general ones to contribute to food-borne illnesses.",,,FALSE
Critical violations are given more points than general violations.,O,Verify that critical violations are assigned more points than general violations.,,,FALSE
"Failing to cook food to required temperatures is a critical violation, while failing to provide an accurate thermometer in a refrigerator is a general violation.",O,"Verify that failing to cook food to required temperatures is a critical violation, and failing to provide an accurate thermometer in a refrigerator is a general violation.",,,FALSE
"“Public health hazards” are critical violations that pose an immediate health threat. Due to their serious nature, they carry the most points.",D,"Verify that ""public health hazards"" are identified as critical violations that pose an immediate health threat, and ensure they carry the most points due to their serious nature.",,,FALSE
"If an establishment does not correct a public health hazard before the end of the inspection, the Health Department may close it immediately.",D,Verify that an establishment that did not correct a public health hazard before the end of the inspection was immediately closed by the Health Department.,,,FALSE
"""Pre-permit serious items” are critical violations in the design of an establishment, such as improper sewage disposal or lack of a hand-washing facility near the food preparation area. The Health Department will not issue a permit if the establishment has one of these conditions.",D,"Verify that the establishment does not have any critical pre-permit serious items, such as improper sewage disposal or a lack of a hand-washing facility near the food preparation area, as the Health Department will not issue a permit under these conditions.",,,FALSE
"These violations must be corrected before the restaurant opens, or immediately if the establishment is already open to the public. Because these violations are critical to safe design and operation of the food service establishment, they carry the most points.",D,"Verify that critical violations are corrected before the restaurant opens, or immediately if the establishment is already open to the public, as these violations are critical to safe design and operation and carry the most points.",,,FALSE
"The number of points an establishment receives for a critical or general violation depends on its condition level, meaning the extent and frequency of the violation.",O,"Check if the number of points an establishment receives for a critical or general violation depends on its condition level, meaning the extent and frequency of the violation.",,,FALSE
Every condition level is determined by a specific set of parameters.,O,Verify that every condition level is determined by a specific set of parameters.,,,FALSE
"Conditions range from Level I, which carries the fewest points, to Level V, which carries the most points.",O,Verify that the conditions carrying the fewest points are classified as Level I and that the conditions carrying the most points are classified as Level V.,,,FALSE
"Condition Level V, in most instances, is used to score public health hazards that are not corrected at the time of the inspection and is usually assigned 28 points.",O,Check if Condition Level V is assigned 28 points for public health hazards that are not corrected at the time of inspection.,,,FALSE
"Some cited violations may result in a Notice of Violation, fine and/or follow-up inspection, but are not counted toward the inspection score.",O,"Verify that cited violations, which may result in a Notice of Violation, fine, and/or follow-up inspection, are not counted toward the inspection score.",,,FALSE
"At the end of the inspection, the inspector will: - Review the results of the sanitary inspection with the operator, explain violations and suggest ways to correct them and improve food safety.",P,"Verify that at the end of the inspection, the inspector reviews the results of the sanitary inspection with the operator, explains violations, and suggests ways to correct them and improve food safety.",,,FALSE
