rule,type,nlc,dc,sql,link
"Somente poderá se inscrever no processo seletivo do Sisu o estudante que tenha participado do Enem, conforme disposto no § 1º do art. 2º desta Portaria, e que atenda às condições estabelecidas no edital do Sisu.",D,"Verifique se somente se inscreveu no processo seletivo do Sisu o estudante que participou do Enem, conforme disposto no § 1º do art. 2º desta Portaria, e que atende às condições estabelecidas no edital do Sisu.",,,FALSE
"O estudante deverá efetuar sua inscrição no Sisu, especificando em ordem de preferência, as suas opções de vaga em instituição, local de oferta, curso, turno e  a modalidade de concorrência, conforme o disposto no art. 15 desta Portaria.",D,"Cheque se o estudante efetuou sua inscrição no Sisu especificando, em ordem de preferência, as suas opções de vaga em instituição, local, curso, turno e modalidade de concorrência , conforme disposto no art. 15 da Portaria.","[s1.codigo_ies IS NOT NULL"", s1.codigo_campus IS NOT NULL"", s1.codigo_curso IS NOT NULL"", s1.turno IS NOT NULL"", s1.mod_concorrencia IS NOT NULL""]",SELECT * FROM SISU S1 WHERE s1.codigo_ies IS NULL OR s1.codigo_campus IS NULL OR s1.codigo_curso IS NULL OR s1.turno IS NULL OR s1.mod_concorrencia IS NULL,TRUE
"É vedada ao estudante a inscrição em mais de uma modalidade de concorrência para o mesmo curso e turno, na mesma instituição de ensino e local de oferta.",D,"Verifique se foi vedada ao estudante a inscrição em mais de uma modalidade de concorrência para o mesmo curso e turno, na mesma instituição de ensino e local de oferta.","[""s1.cpf = s2.cpf"", ""s1.codigo_ies = s2.codigo_ies"", ""s1.codigo_campus = s2.codigo_campus"", ""s1.codigo_curso = s2.codigo_curso"", ""s1.turno = s2.turno"", ""s1.mod_concorrencia != s2.mod_concorrencia""]",SELECT * FROM SISU S1 JOIN SISU S2 on s1.cpf = s2.cpf WHERE s1.mod_concorrencia != s2.mod_concorrencia and s1.codigo_ies = s2.codigo_ies and s1.codigo_campus = s2.codigo_campus and s1.codigo_curso = s2.codigo_curso and s1.turno = s2.turno,TRUE
"É vedada ao estudante a inscrição na segunda edição anual do processo seletivo do Sisu para o mesmo curso, turno, local de oferta e instituição, independentemente da modalidade de oferta, para o qual tenha se em razão de sua seleção na primeira edição anual do Sisu.",D,"Cheque se foi vedada ao estudante a inscrição na segunda edição anual do processo seletivo do Sisu para o mesmo curso, turno, local de oferta e instituição para a qual tenha sido selecionado na primeira edição.","[""s1.cpf = s2.cpf"", ""s1.codigo_ies = s2.codigo_ies"", ""s1.codigo_campus = s2.codigo_campus"", ""s1.codigo_curso = s2.codigo_curso"", ""s1.turno = s2.turno"", ""s1.edicao = 2"", ""s2.edicao = 1"", ""s2.matricula = 'EFETIVADA'""]",SELECT * FROM SISU S1 JOIN SISU S2 on s1.cpf = s2.cpf WHERE s1.codigo_ies = s2.codigo_ies AND s1.codigo_campus = s2.codigo_campus AND s1.codigo_curso = s2.codigo_curso AND s1.turno = s2.turno AND s1.edicao = 2 AND s2.edicao = 1 AND s2.matricula = 'EFETIVADA',TRUE
"Durante o período de inscrição o estudante poderá alterar as suas opções, bem como efetuar o seu cancelamento.",D,Verifique se o estudante pôde alterar as suas opções ou efetuar o seu cancelamento durante o período de inscrição.,,,FALSE
A classificação no processo seletivo do Sisu será efetuada com base na última alteração efetuada e confirmada pelo estudante no sistema.,P,Cheque se a classificação no processo seletivo do Sisu foi efetuada com base na última alteração realizada e confirmada pelo estudante no sistema.,,,FALSE
"Ao se inscrever no processo seletivo do Sisu, o estudante deverá optar por concorrer às vagas reservadas em decorrência do disposto na Lei nº 12.711, de 2012, observada a regulamentação em vigor.",D,"Verifique se, ao se inscrever, o estudante optou por concorrer às vagas reservadas em decorrência da Lei nº 12.711/2012, observada a regulamentação em vigor.",,,FALSE
"Ao se inscrever no processo seletivo do Sisu, o estudante deverá optar por concorrer às vagas destinadas às demais políticas de ações afirmativas eventualmente adotadas pela instituição no Termo de Adesão.",D,"Cheque se, ao se inscrever, o estudante optou por concorrer às vagas destinadas às demais políticas de ações afirmativas adotadas pela instituição no Termo de Adesão.",,,FALSE
"Ao se inscrever no processo seletivo do Sisu, o estudante deverá optar por concorrer às vagas destinadas à ampla concorrência.",D,"Verifique se, ao se inscrever no processo seletivo do Sisu, o estudante optou por concorrer às vagas destinadas à ampla concorrência.",,,FALSE
Compete exclusivamente ao estudante se certificar de que cumpre os requisitos estabelecidos para concorrer às vagas referidas nos incisos do caput.,D,Cheque se o estudante se certificou de que cumpre os requisitos estabelecidos para concorrer às vagas pretendidas nos incisos do caput.,,,FALSE
"O Sisu disponibilizará ao estudante, em caráter exclusivamente informativo, a nota de corte para cada instituição, local de oferta, curso, turno e modalidade de concorrência, a qual será atualizada periodicamente conforme o processamento das inscrições efetuadas.",O,"Verifique se o Sisu disponibilizou ao estudante, em caráter exclusivamente informativo, a nota de corte para cada instituição, local de oferta, curso, turno e modalidade de concorrência, atualizada periodicamente para cada opção.","[""s1.nota_minima_l IS NOT NULL"", ""s1.nota_minima_ch IS NOT NULL"", ""s1.nota_minima_cn IS NOT NULL"", ""s1.nota_minima_m IS NOT NULL"", ""s1.nota_minima_r IS NOT NULL"", ""s1.media_minima IS NOT NULL""]",SELECT * FROM SISU S1 WHERE s1.nota_minima_l IS NULL OR s1.nota_minima_ch IS NULL OR s1.nota_minima_cn IS NULL OR s1.nota_minima_m IS NULL OR s1.nota_minima_r IS NULL OR s1.media_minima IS NULL,TRUE
"Considera-se nota de corte a menor nota para que o estudante se classifique dentro do número de vagas ofertadas no(s) curso(s) de opção e modalidade de concorrência no período de inscrição, não constituindo qualquer garantia de seleção para a(s) vaga(s) ofertada(s), mas tão somente mera referência de auxílio no monitoramento de sua inscrição.",O,"Cheque se a nota de corte está servindo apenas como referência de menor nota para classificação no número de vagas, sem constituir garantia de seleção.",,,FALSE
"A inscrição do estudante no processo seletivo do Sisu implica a concordância expressa e irretratável com o disposto nesta Portaria, no Termo de Adesão da instituição e nos editais divulgados pela SESu, bem como nos editais próprios da instituição para a qual tenha se inscrito.",O,"Verifique se a inscrição do estudante implicou a concordância expressa e irretratável com a Portaria, o Termo de Adesão da instituição e os editais pertinentes.",,,FALSE
"A inscrição do estudante no processo seletivo do Sisu implica o consentimento com a utilização e a divulgação de suas notas no Enem e das informações prestadas no Exame, inclusive aquelas constantes do questionário socioeconômico, assim como os dados referentes à sua participação no Sisu.",O,Cheque se a inscrição do estudante implicou o consentimento com a utilização e a divulgação de suas notas no Enem e das demais informações prestadas.,,,FALSE
"O Ministério da Educação não se responsabilizará por inscrição via internet não recebida por quaisquer motivos de ordem técnica de computadores, falhas de comunicação, congestionamentos das linhas de comunicação, por procedimento indevido, bem como por outros fatores que impossibilitem a transferência de dados, sendo de responsabilidade exclusiva do estudante acompanhar a situação de sua inscrição.",D,"Verifique se o estudante acompanhou a situação de sua inscrição, uma vez que o Ministério da Educação não se responsabiliza por inscrições não recebidas devido a problemas técnicos e falhas de comunicação.",,,FALSE
